,Society,event_name,attendance_count,interested_count,no_reply_count,declined_count,maybe_count,total_invited_count,description,place,city,country,street,zip,latitude,longitude,society_size,Start_time,Date,Campus
638,SU.Engineers,USYD Inter-Faculty Pubcrawl,1449,2483,2242,0,2483,8657,"It's the yearly march of the USYD students across the pubs and bars bettwen the main campus and the city. This event has been steadily growing in size over the years, and we want it to stay that way. So please come along and join this epic clusterfuck.

Come down to PNR lawns on thursday afternoon, the engineers will provide you all with some cheap food, drinks and entertainment before we kick on to the Royal.

Hosted by SUEUA in Association with SUBS, SASS, SciSoc, VetSoc, AgSoc, SUPA, EdSoc, SUDA with addtional support from EcoSoc, MecoSoc, Brewsical.

Dress in your faculty themes!
Engineering & IT : Mexican
Business : Out of this World!
Dentistry: Luau
Vet: Overalls
Arts: 90s
Science: Ugly Sweaters
Education: Heaven and Hell
Architecture: Denim",Cadigal Lawns,Sydney,Australia,Maze Crescent,2008.0,-33.88967972,151.1917444,2718,15:30:00+1000,2016-04-28,0
640,SU.Engineers,ADF Racing Night,39,98,164,0,98,399,"The Australian Defence Force is bringing to you a night of thrills and spills. 

Come join us for a FULLY CATERED night of fun and lighthearted rivarlry as you verse eachother on Australia's most advanced racing simulation-- Full motion. Surround sound. Triple Screen. Real-world variables. 

If you're interested in a career in defence-- there will be representatives there to answer any questions you have. 

What would normally cost $50 for a half hour session, or $80 for an hour session, we're bringing to you for just FIVE dollars! Tickets are extremely limited, so get them on qpay now!

Price: $5
Link to tickets: http://adfracing.getqpay.com/tickets",Darling Habour Racecentre,Sydney,Australia,"Store 316, Level 2, Harbourside Shopping Centre",2000.0,-33.87232187,151.19938369999997,2718,18:00:00+1000,2016-04-18,0
641,SU.Engineers,FREE SUEUA BBQ Sponsored by the ADF,101,202,163,0,202,668,"Come on down to Engo lawns! Grab some free sangers. Learn  about scholarship and work opportunities in the Australian Defence Force, and have a good time!",Pnr,Sydney,Australia,,2008.0,-33.890111,151.1928275,2718,12:00:00+1000,2016-04-18,0
644,SU.Engineers,SUABE presents The Annual Welcome Dinner 2016,115,67,197,0,67,446,"SUABE is back and we are kick-starting the new year with our 2016 Annual Welcome Dinner!

This is an excellent opportunity to bring out your networking skills and interact with students, alumni, academia and many, many industry guests from all areas in biomedical engineering and more. Just to give you an idea, our last event boasted over 40 + companies!

This year we have two very special speakers. The first of which is Dr Jordan Nguyen, who has gone from a PhD In Biomedical Engineering to developing a thought-controlled smart wheelchair for high level physical disability. He has been featured in Catalyst, The Project, is starting his own documentary series, and presented in TEDx TheRocks, Ultimo Science Festival. http://www.drjordannguyen.com/. The second speaker is Dr Brad Miles, the CEO and founder of 360 Knee Systems and the founder of Optimised Ortho, which was  bought by Corin - one of the largest orthopaedic companies in the world. 

When: Friday 8th April 6:30pm 
Where: Tea Room, Queen Victoria Builidng
What to wear: Formal attire

Ticket prices
ACCESS + Member: $70
ACCESS only: $75
Non-ACCESS: $85

Tickets include a 3 course meal at the stunning QVB tea room, and will be on sale later this week. Our last event had 180 tickets and sold out in a few days, this event only has 140 so get in early or you will miss out.","The Tea Room, Queens Victoria Building",Sydney,Australia,,2000.0,-33.87100368,151.2065997,2718,18:30:00+1000,2016-04-08,0
645,SU.Engineers,Sydney University Engineering Cocktail Night,221,319,163,0,319,1022,"Are you keen to explore and get ahead in the networking game? SUMO, MUGS and SparkSoc are proud to present this year; the inaugural Engineering Industry Dinner. Bringing together the largest collection of industry representatives for engineers of all disciplines; the 7th April will herald your biggest chance this year to network with the bastions of the industry.

With companies such as Microsoft, Google, Schneider, Ausgrid and over 40 more; the Holme Refectory will be the site of a network opportunity impossible to miss. The range of companies covers mostly areas in Electrical, Software, Automation, Mechanical and Consultancy; but due to the vast expanse of disciplines that all these companies cover, all degrees can find companies suited to themselves here.

Tonight will be a night of networking. So it’s highly suggested that in between the unlimited canapes and drinks that you take this valuable time to engage with all the industry guests present. Find out how their companies deal with graduates, what work would you be apart of, do they offer internships? Think of questions before the night and seek out those that can help you answer them. Make sure you research companies beforehand, it’ll be no good asking your Mechanical Engineering questions to Google.

Tickets will be sold from Week 1 onwards by SUMO, MUGS and SparkSoc outside of PNR, watch this event for information on the time we are present. There are limited spots and it’d be a waste of such a golden opportunity to miss a ticket because you thought you could just buy one at the last minute.

Ticket Prices:
Early Bird (First 25 tickets): $25
Member: $30
ACCESS: $35
Non-ACCESS: $45

DRESS: Cocktail

XOXO
SUMO, MUGS and SparkSoc Exec",Holme Building Sydney University,,,2 Science Rd,2050.0,-33.88513745,151.1869294,2718,18:30:00+1000,2016-04-07,0
649,SU.Engineers,SUWIE High Par-tea,48,101,208,0,101,458,"Come and join SUWIE for a High Par-tea! 

High Tea is our first proper event of the year and we are thrilled to invite you to come along meet the fellow females in engineering over a slice of cake or fruit or pastry or nibble or meat pie or quiche or cheese or dip or chip. Held at the Courtyard Restaurant and Bar, spend your Friday afternoon meeting us, the SUWIE exec, as well as the new and old returning chicks of SUWIE. 

Also at our event will be some of our knowledgeable sponsors and representatives, just to name a few: 
Accenture 
BCG 
LEK
Oliver Wyman
Westpac

We will be selling tickets outside/inside PNR everyday this week between 12-2pm. Our High Par-tea will be on the 18th of March, arrive at 1pm for a 1.30pm start.

Tickets:
Member + Access: $12
Non-member + Access: $15
Non-Access: $20
($5 to join SUWIE)

Limited guys tickets are available so get in quick!",Courtyard Restaurant and Bar,Sydney,Australia,"Holme Building, Science Rd, University of Sydney",2006.0,-33.88512358,151.18711519999997,2718,13:00:00+1100,2016-03-18,1
650,SU.Engineers,"Slip, Slide 'n' Sliders, proudly sponsored by Ansell",204,396,480,0,396,1476,"The event you've all been waiting for, the annual SUEUA Slip 'n' Side. This year we are proudly sponsored by ANSELL, a global leader in protection solutions. Join our keg* on the lawns for a well lubricated afternoon of fun.

To sweeten the deal, Flairsoc has brought along the Street Sliders Truck to provide delicous meals.

After 3pm we will continue to the Royal to celebrate St Patricks Day

Visit sueua.com to see our full event schedules. 
*USU promotes the responsible service of alcohol.",Peter Nicol Russel Building,Sydney,Australia,,2008.0,-33.89003012,151.1931034,2718,12:00:00+1100,2016-03-17,0
652,SU.Engineers,$2 Thai and Chiki Nugs!,76,57,199,0,57,389,"BACK AT IT AGAIN WITH THE $2 THAI! THIS TIME WITH NUGGETS! 

Thats right, not only do we have $2 thai, we'll bring chicken nuggets. Sweet n' Sour sauce included. 
Make sure to order your thai beforehand! Nugs available to buy on the day. 

>>> http://goo.gl/forms/KFCt0eWpVH <<<

IMPORTANT: Food will be auctioned off at 1:30pm, so don't be late!

Text me on 0458236021 or message our page if you want us to hold on to your food!


Love, Sparksoc exec.",Engineering Lawns,Sydney,Australia,Shepherd St,2008.0,-33.89016871,151.193539,2718,12:45:00+1100,2016-03-16,0
654,SU.Engineers,SUCE Does Free Pulled Pork!,182,293,142,0,293,910,"SUCE is at it again, this time however it is time for Pulled Pork Burgers.

Succulent, juicy, mouth-watering Pulled Pork on a soft bun. If that has not got your taste buds dripping, this will… these burgers are totally free for SUCE members!!! and only $5 for non-members.

Not a member? Don't stress, sign up for $5 dollars on the day and you can enjoy discounts on all upcoming events, including this event.

So come down to the Engo Lawns on Monday the 14th of March and join us for the next level of Pulled Pork.",Engineering Lawns,Sydney,Australia,Shepherd St,2008.0,-33.89016871,151.193539,2718,12:00:00+1100,2016-03-14,0
655,SU.Engineers,Impromptu Keg,18,11,165,0,11,205,"Thurday and Archie is Thirsty, come down to PNR now and join us for a beer",Pnr,Sydney,Australia,,2008.0,-33.890111,151.1928275,2718,13:45:00+1100,2016-03-10,0
657,SU.Engineers,MyElectricalCommunity Electrical Engineering Showcase,15,19,26,0,19,79,"This exciting opportunity, hosted by My Electrical Community, hosts 40 senior leaders including 10 presenting from companies including ABB, Schneider-Electric, Nokia, GHD, NDY, AECOM and Department of Industry and Innovation.
You will be able to listen to industry leaders discuss a specific project, challenge or initiative relevant to the Electrical Industry. Facets of the industry to be discussed include Building Services, Power, Control, Automation, Mining, etc. 
With such a wide spectrum of disciplines in the Electrical Industry, you can anticipate hearing from a range of people on their experiences and challenges they have encountered in their careers to better equip you to enter the industry.
For more information on My Electrical Community visit www.myelectricalcommunity.org/ 

We encourage students to attend to learn more about the leading companies and opportunities in the Electrical Engineering industry - particularly with internship and graduate applications coming up.

Use the discount code 'UNI' when booking tickets for a discounted rate of $5 (instead of $30). https://www.stickytickets.com.au/35267 

Limited places available so get in quick!
Hope to see you there!!",Mcmahons Point Community Centre,Mcmahons Point,Australia,165  Blues Point Rd,2060.0,-33.8431,151.20522,2718,18:00:00+1100,2016-03-09,0
658,SU.Engineers,Engineering and IT Careers Fair - 9 March - Open to University of Sydney Students ONLY,485,875,320,0,875,2555,"On Wednesday the 9th March 2016 the Engineering Sydney Careers Fair will be held in the Seymour Centre between 12noon and 3:30pm. 
This is your faculty-based Careers Fair and provides YOU with the opportunity to speak directly with industry professionals who specialise in your chosen stream of engineering, IT or project management.
It will give you the chance to promote yourself and discuss graduate programs, employment options, internships, vacation work and industry placements.
With over 30 companies registered to attend, this is an event not to be missed!
Please visit the website below to see which companies are attending that are interested in talking to you about your future career.
http://sydney.edu.au/engineering/industry/careersfair/index.shtml",Seymour Centre,Sydney,Australia,"Corner City Road and Cleveland Street, Chippendale",2008.0,-33.88822289,151.19355430000005,2718,12:00:00+1100,2016-03-09,0
660,SU.Engineers,CAKE STALL,60,82,154,0,82,378,"If you’ve been struggling through the first week of uni, you don’t have to worry as you haven’t been alone. Come by PNR on Monday to satisfy your tastebuds with SUWIE’s first cake stall of the year. There will be some home-baked goodies on sale, ranging from cupcakes to cookies to cake to other sweet things to satisfy all types of desires. 

Don’t tell us that doesn’t sound ent-icing. 

Only a gold coin is required, so make sure you remember to come grab some cake for your sake!  

For all of you that missed out on a chance to sign up for membership at O-week or if you are only now discovering the wonderful women of engineering, come along and join us – it’s super easy to sign up (literally a piece of cake).  

Also! If this isn’t enough cake to satisfy you – why not go one step higher and come to our High Tea on the Friday of week 3? We will be selling tickets for our welcome high tea at our cake stall, so come along for more info. 

SUWIE YOU SOON :)",Peter Nicol Russel Building,Sydney,Australia,,2008.0,-33.89003012,151.1931034,2718,11:00:00+1100,2016-03-07,0
661,SU.Engineers,Welcome Cocktails,65,139,313,0,139,656,"To all our members, new and existing, we welcome you back to uni with quality cocktails at an extremely affordable price.

The Royal is bringing exclusively to us, Cocktail Jugs. A whopping seven standards in one jug!

Members: $10
Non-Members: $13
Non-Access: $20

Find us upstairs from 5pm for drink vouchers!

* The USU and Movers and Shakers Cocktail Society promotes the Responsible Service of Alcohol",The Royal,Sydney,Australia,370 Abercrombie Street,2008.0,-33.89271,151.19171,2718,17:00:00+1100,2016-03-03,0
663,SU.Engineers,O-Week Pubcrawl,510,777,675,0,777,2739,"The countdown to class has begun, but there is no need to despair. SUEUA will be easing you back into things with another journey through our local pubs and bars. 

Whether you're a first year trying to settle into uni life, or a drinking veteran back to catch up with some friends, be sure not to miss this warmup!

As always we will start with a free beer keg, cocktail bin and some free pizza on the PNR lawns before heading to our first pub.

Until then, invite your friends and hold on tight as the execs work out some amazing deals for you guys.

Royal, home of the $10 Student Jug:
(Following deal for SUEUA members always, and for all attendees of the crawl just this time.)
-$5 Jager Bombs ( $1 for the first 200 from FlairSoc)
-$10 Shnitty
-$10 Salad
-$12 Burgers",Peter Nicol Russel Building,Sydney,Australia,,2008.0,-33.89003012,151.1931034,2718,15:00:00+1100,2016-02-26,0
665,SU.Engineers,SUCE End of Semester Party,266,56,341,0,56,719,"After a long semester SUCE is there for you, the event we have been waiting for since the beginning of semester, SUCE’s End of Semester Party. Come join us upstairs at The Rose Hotel (opposite Seymour Centre) for a night full of banter, shenanigans and forgetting the fact that exams are around the corner.

Entry to this event is FREE for SUCE members, $5 for Access and $15 for non-Access. We will be issuing wristbands upon entry at the door.

Drink prices:
$2 Beers
$4 Spirits

Drink vouchers must be purchased from SUCE Exec (look out for high-vi vests), otherwise you’re welcome to pay full price.

Jono Graf our resident DJ is back and will be rockin’ the Dance Floor.

PRE-DRINKS @ HERMANN'S:
PMSoc
$2 Drinks 
https://www.facebook.com/events/709779529122294/

SUMO & SparkSoc Meatbox Challenge
$5 Meatboxes
$5 Kebabs
$2 Beers
$10 Meatbox and Jug Challenge Entry
https://www.facebook.com/events/544667292356593/


As always, Keep it Civil


SUCE EXEC

*USU promotes the responsible service of alcohol*",The Rose Hotel - Chippendale,Sydney,Australia,52 -54 Cleveland St,2008.0,-33.88788692,151.1950754,2718,19:00:00+1100,2015-10-30,0
666,SU.Engineers,SUWIE Thai Night,61,21,210,0,21,313,"Come and join SUWIE for in Newtown next Thursday evening from 6pm for all you can eat Thai! You may be thinking, Thursday night? Ain't nobody got Thai for that...but trust us - we'll make the night worth your while with some banter, alcohol and good times. Don't tell us that doesn't sound en-thai-cing...

If you have nothing else to do, Phuket and come grab a ticket! Tickets will be sold outside PNR everyday this week from 12pm onwards - get in early as we only have a limited amount of spaces!

Ticket Prices
Access + Member: $6
Access: $8
Non Access: $15

Hope to see you all for a thai-riffic night! 

*SUWIE and the USU support the responsible service of alcohol",Thai La-Ong,Newtown,Australia,"89 King St, Newtown",2042.0,-33.89289281,151.18511,2718,18:00:00+1100,2015-10-15,0
668,SU.Engineers,Interfac Sports: SUEUA drinks beers at 5Km Run,88,7,114,0,7,216,"Free Beers for all Engineering Students who volunteer or participate in the 5km Run! Theres also a free BBQ!!
Engineering is taking the lead right now so If you have working legs, please come and help us finish off a great year in interfac Sports.

How the run works is each person who signs up for the faculty gets a point, theres also points for those who get a place, but the main thing is participation. You don't even have to finish the run, just come sign up, maybe run to the beer station and thats it! (ok so you have to complete one lap, but whats one lap when you can walk it?) We need as many people as possible to give us the best chance at beating Law and Education, so spread the word, let you friends know and come enjoy a fun afternoon!!

We also need 4 volunteers on the day to help with the event (you still get beer and a free BBQ). If thats you, send Katherine Cox a message to let her know you're keen!

For the actual event
https://www.facebook.com/events/126318417722452/",The University Of Sydney No 1 Oval,Sydney,Australia,,2006.0,-33.88823491,151.18496930000003,2718,14:30:00+1100,2015-10-14,1
670,SU.Engineers,President's Party 2015!,108,10,247,0,10,375,"Once again, engineering is banding together to tackle the stresses of semester two with our annual, infamous President's Party!

Come and relax with us on Cadigal Green, with a bunch of food, and a jumping castle/obstacle course!!

Bounce your worries away while enjoying;
- Pancakes provided by SUABE
- Mexican provided by MUGS
- Burgers provided by SUMO
- Soft drinks as well

Get access to unlimited food and the jumping castle for:
- Access $10
- Non-access $20

Or just treat yourself to a delicious lunch for 
- Access $4 (one plate of food)

There is strictly no alcohol allowed and if any is seen it will be confiscated! (due to CIS rules)",Cadigal Lawns,Sydney,Australia,Maze Crescent,2008.0,-33.88967972,151.1917444,2718,12:00:00+1100,2015-10-08,0
671,SU.Engineers,SUEUA AGM,110,9,109,0,9,237,"Well its been a long and successful year but its time for the SUEUA Exec of 2015 to hang their hats. So who will step up to the plate and accept the challenge that is SUEUA - time to elect your future leaders at SUEUA's Annual General Meeting. 


Agenda:

1) Opening and welcome

2) Apologies and leaves of absence

3) Minutes of the previous meeting

4) Business arising from the minutes

5) Correspondence

6) Motions on notice

a) 6.1) Constitutional Amendments 

-- Addition of Postgraduate Representative Position to executive 

7) Annual Reports

a) 7.1) President 

b) 7.2) Treasurer

8) Election of the Executive

- President 
- Vice President
- Junior Vice President
- Treasurer
- Secretary 
- BBQ Master
- Cellar Master 

And up to 8 Committee Members comprised of:
- Photo
- Marketing
- Web
- Revue Representative
- Up to Four Sports (Two Male, Two Female)


9) General business

10) Close of Meeting


Please note that only people with an access card can vote in the election, so make sure to bring it with! SUEUA will be providing beer so come and grab a drink and vote for your choice to lead SUEUA next year! 

**The USU and SUEUA support responsible drinking**",Civil Engineering Drawing Office,Sydney,Australia,,2008.0,-33.89050409,151.1936728,2718,13:00:00+1100,2015-10-07,0
672,SU.Engineers,[SOLD OUT] SUEUA'S 2015 ENGINEERING BALL: FIRE & ICE,465,57,316,0,57,895,"Ladies, it's time to go shopping!

Gentlemen, it's time to find and dust off those suits!
 
Robert Frost said ""Some say the world will end in fire, Some say in ice""- We say fuck it, why not both? 

This year's theme for SUEUA's Annual Engineering Ball is FIRE & ICE 

Tickets will be on sale from Week 8 so from the 14th of September until we sell out we'll be outside PNR from 12-2pm everyday!  

***TICKET PRICES*** 
$75 for SUEUA Members + Access
$85 for Access Only 
$95 for Non-Access 

Ticket includes drinks* (beer, wine and soft drinks) and a delicious three course meal from the Red Room!

To make it fair for everyone we will only allow a MAX of 2 TICKETS PER PERSON! So make sure you get in early so you don't miss out! 

Also due to timing issues, memberships will not be sold on the first day of ticket sales. 

*The USU and SUEUA support the responsible service of alcohol*",Club York Sydney,Sydney,Australia,95-99 York Street,2000.0,-33.87016,151.20581,2718,19:00:00+1000,2015-09-25,0
673,SU.Engineers,FREE SUEUA BBQ - SPONSORED BY ABERGELDIE,161,14,165,0,14,354,"We don’t know about you but us SUEUA exec’s are definitely feeling the pressure of uni hitting hard with countless assignments and sleepless nights! It always helps if there’s a light at the end of the tunnel, so our friends at Abergeldie are coming to the rescue. On Thursday, Week 9 (24th Sept), Abergeldie representatives will be at the Engineering Lawns between 12-2pm  to talk with students and offer insight into the their experiences working in the construction/project management side of civil engineering. The Abergeldie reps will also be more than happy to answer any questions you may have.
 
If you’re studying mechanical or civil engineering and/or project management, this is a great opportunity for you find out what experiences you may have once you’re out in the field.
 
We’ll be cooking up a storm for another infamous SUEUA BBQ, sponsored by Abergeldie. Take some time out from all the studying and come hang out with our industry guests!  
 
ABOUT ABERGELDIE:
Abergeldie designs and delivers dams, bridges, tunnels, recreation facilities, water treatment and process facilities, rail and mining infrastructure, electrical substations and marine works to areas across Australia, providing the complex infrastructure needed to build better communities. For more info visit their website: http://www.abergeldie.com.au/home",Engineering Lawns,Sydney,Australia,Shepherd St,2008.0,-33.89016871,151.193539,2718,12:00:00+1000,2015-09-24,0
674,SU.Engineers,Engtoberfest,263,16,168,0,16,463,"Guten tag, wie gehts dir?

Well, thanks! Our most beloved friends at Brewsical and MUGS are hosting their annual smorgasbord of delicious meats and pleasing beers/cider in (early) celebration of Oktoberfest.

There will of course be activities such as stein-holding , keg tossing and our most popular - 'Who's wearing the bestest lederhosen!' Toll!


ACCESS Holders: $4.95 for a plate of succulent meat (beef, lamb, pork), bread and salad!

NON-ACCESS (Pleb): $14.95

Tschüs!","Mechanical Engineering Building, Usyd",Sydney,Australia,,2008.0,-33.88919794,151.1938828,2718,12:00:00+1000,2015-09-17,0
677,SU.Engineers,SUCE Does Big Macs (Sort Of),294,15,138,0,15,462,"SUCE is once again reigning supreme in the BBQ game by delivering a new, unprecedented level of outdoor culinary finesse. 

We present to you, BIG MACS.  

Sort of.

These aren't the greasy bullshit heart attacks you're used to son. These are home made (with love) creations crafted from 100% Aussie ground beef. All the essential ingredients are there, INCLUDING THE SECRET SAUCE. 

That's right, we've sourced the sauce and we're bringing it to you for just $2! 

So come down to the Engo Lawns next Wednesday and join us for the  next level of BBQing.",Engineering Lawns,Sydney,Australia,Shepherd St,2008.0,-33.89016871,151.193539,2718,12:00:00+1000,2015-08-19,0
678,SU.Engineers,CARDNO CUP,77,15,156,0,15,263,"It's that time of the year again, where USYD & UTS come together for their annual friendly (grudge) soccer tournament - The Cardno Cup, presented by Cardno Australia! 

Cardno Australia: ASX-200 Professional and environmental services and a world leading company in infrastructure development, offering both summer internships and 2015 graduate positions
@[NjQyMTgzOTU5MjA4MTA3Omh0dHBcYS8vd3d3LmNhcmRuby5jb20vZW4tdXMvQWJvdXRVcy9QYWdlcy9Ib21lLmFzcHg6Og==:http://www.cardno.com/en-us/AboutUs/Pages/Home.aspx]

Come down around 12pm for the start of the three rounds of outdoor soccer on the engineering lawns (5-a-side soccer teams with 15-min halves). 

There will also be a BBQ and also representatives from Cardno attending, so even if you don't want to play, you should come down and cheer on USYD, network and just enjoy the food, drinks and sun (hopefully)! 

See you all there!",Engineering Lawns,Sydney,Australia,Shepherd St,2008.0,-33.89016871,151.193539,2718,12:00:00+1000,2015-08-06,0
679,SU.Engineers,USYD Inter-Faculty Pub Crawl,2237,197,1666,0,197,4297,"Its that time of the year when we turn down the hostilities, tear down the barrier between the schools and faculties and come together for a night of fun

In Association with SciSoc (Science), SASS (Arts), Messy (Med Sci), SUDA (Design), SUITS (IT), ECOSOC (Economics), ESSSA (Health Sci), EDSOC (Education), Agsoc (Agriculture), SCASS (Sydney College of Arts) and SUNS (Nursing), INGSOC (international) we will be taking the party through the streets of Darlington/Glebe/Chippendale and visit many of the well know pubs in the area.

Dress to represent your faculty (e.g. Engo = High Vis, Science = Labcoats, Nurses = Scrubs)  and join us at the PNR lawns at 4pm with some drinks provided by SUEUA. Cheap food will also be available from our partner engineering societies. 

*USU supports the responsible service of alcohol",Usyd Engineering,Sydney,Australia,"Maze Crescent, University of Sydney",2006.0,-33.89010598,151.1932062,2718,16:00:00+1000,2015-05-07,1
681,SU.Engineers,Thursday Kegs!,267,17,198,0,17,499,"To make up for Beer & Bangers being cut short, come have some free beers down at Engo Lawns next Thursday!!!

xxx
SUEUA Exec

***SUEUA supports the responsible service of alcohol***",Engineering Lawns,Sydney,Australia,Shepherd St,2008.0,-33.89016871,151.193539,2718,16:00:00+1000,2015-04-16,0
686,smsociety,Beers and Billiards,41,111,225,0,111,488,"Calling all Ronnie O’Sullivans and wannabe snooker stars!

As the semester draws to a close, your good friends at the Sydney Marketing Society have added some spice to your Thursday night drinks. 

On Thursday, October 26th come down to The Royal for Beers and Billiards with SMS. Apart from delightful company, this unmissable evening will offer:

FREE Pool
$10 jugs of Tooheys New and Boags
$5 Vodka and mixer drinks
$5 Wine (red or white)

Please note that this is an 18+ only event. SMS supports the responsible service of alcohol.",The Royal,Sydney,Australia,370 Abercrombie Street,2008.0,-33.89271,151.19171,2611,16:00:00+1100,2017-10-26,0
690,smsociety,SMS: Marketers Meet The Royal,21,67,201,0,67,356,"It's that time of the semester, where we're all essentially walking zombies... Quench your hunger (not for human brains, obviously) by joining us for a feed and some drinks at Sydney's finest pub, The Royal! 

A time to admire the beautiful views of ABS, and the gravy oozing from the well-done steak prepared for you on your plate. You know what that calls for: photo time for the gram, because what Marketing student doesn't admire these aesthetics? 

Come along to meet and bond with your marketing peers! Who knows you might even find your next group member here - SMS  delivering you with the goods. 

Some perks of this outing: 
$12 jugs of beer/cider/ and mixers with house spirit
$10 margherita pizzas
THE FAMOUS $10 steaks 
$14 chicken schnitzel  

Time to get social and end the sem off on a high!

Much love,
SMS Team xx",The Royal,Sydney,Australia,370 Abercrombie Street,2008.0,-33.89271,151.19171,2611,16:00:00+1000,2017-06-01,0
692,smsociety,SMS Beer and Pizza Party,27,91,134,0,91,343,"Hey all!

Come join SMS for our annual end of Semester Beer and Pizza get-together @ Hermann's.

This is a great chance to relax and socialise with friends and fellow SMS peers!

Access: FREE 
Non-Access: just $2

Let's all celebrate this amazing year. See you there!


Much love,
SMS team x",Hermann's Bar,Sydney,Australia,"University of Sydney, Cnr City Rd & Butlin Ave Butlin Ave",2008.0,-33.88960056,151.1903887,2611,12:00:00+1100,2016-10-27,0
695,smsociety,SMS Presents: Mentor Program,40,23,290,0,23,376,"Calling all applicants for the 2016 SMS Mentor Program! 

The Sydney Marketing Society's (SMS) annual mentoring program will connect you with industry experts at major brands including: P&G, Unilever, and Nestle.

The program aims to foster and develop your relationship with your mentor, helping you to get a foot in the door and decide what type of marketing career you want to pursue. 
Commitments to the program are decided by you and your mentor! We encourage regular meetings over coffee, or even asking your mentor for an office tour... or pherhaps a few days in the office?

This is a great program to build and develop your professional acumen, and a chance not to be missed.

Full list of mentor companies TBA. 

Applications have now closed.",The Darlington Centre Sydney University,Sydney,Australia,King Street,2008.0,-33.89135493,151.1890745,2611,18:00:00+1000,2016-07-28,0
700,smsociety,End of Semester Social- Love's Last Chance,98,32,174,0,32,336,"Ever stared at someone during lectures, wishing you could meet? Here's your chance! SMS is bringing all business students together at our end-of-semester social! Come along to get free pizza & drinks, meet new people, make new friends and who knows you might meet your soul mate!

Access Members: Free
Non-access Members: $5

Time: 1pm
Location: Hermann's Bar 

Stay tuned for more updates.",Hermann's Bar,Sydney,Australia,"University of Sydney, Cnr City Rd & Butlin Ave Butlin Ave",2008.0,-33.88960056,151.1903887,2611,13:00:00+1100,2015-10-28,0
703,smsociety,The Sydney University Business School Societies Present: The High Achievers Breakfast,202,21,247,0,21,491,"We are proud to announce the first ever Sydney University Business School Societies Combined High Achievers Breakfast. SUBS, SMS, WOSOC, AAASoc and Beta Alpha Psi have collaborated to celebrate the academic success of the Business School’s high achieving students.
 
This breakfast will provide exclusive networking opportunities with Australia’s top employers and fellow Associate Deans.
 
Our keynote speaker, Lee White, CEO of Chartered Accountants Australia and New Zealand (CAANZ), will be sharing invaluable insights into his own career path, challenges he faced and advice on how to take advantage of opportunities.
 
This is not an opportunity to be missed if you are serious about your future employment opportunities. Places are strictly limited, so get your applications in quick!

Applications are now open at http://bit.ly/1NWg79i and close on the 9th of September at 11:59pm.
 
Penultimate and final year students with Distinction WAM are preferred applicants, however students from all years are welcome to apply.
 
Date: Tuesday, 15th September
Time: 8am -10am
Venue: The Darlington Centre, 174 City Rd, Darlington, NSW 2008
Cost: Free
Dress: Strictly Business Attire
 
If you have any questions, please email events@subsoc.com.au with your name and year.
 
We look forward to seeing you there!",The Darlington Centre Sydney University,Sydney,Australia,King Street,2008.0,-33.89135493,151.1890745,2611,08:00:00+1000,2015-09-15,0
704,smsociety,SMS BBQ,51,6,43,0,6,106,"Come join us for a BBQ outside Merewether (near the Business School Student Information Office) this Thursday, 3rd September. 

It's a great chance to meet fellow SMSers with similar interests!

Food is FREE for SMS members, and $2 for non-members. 

It's free to become a member though, so sign up here: http://www.smsusyd.org/","Merewether Building, Sydney University",Sydney,Australia,Butlin Ave,2008.0,-33.89041469,151.19041230000005,2611,12:00:00+1000,2015-09-03,0
707,smsociety,Unilever Internship Information Session,80,8,74,0,8,170,"SMS presents the Unilever Internship Information Session.

Where? 
Eastern Avenue Lecture Theatre (Level 3 above Eastern Avenue Auditorium)

When? 
Tuesday, 4th August, 3-4 pm

Why?
This is an exclusive opportunity to gain first hand information about Unilever's prestigious Internship Program. It's the No. 1 FMCG Internship Program in Australia.

You'll get to meet Unilever graduate staff and have all your questions answered. This is a great opportunity to expand your networks and open up new career opportunities! 

Free food will also be provided.

Want to find out more about Unilever's Internship Program?

There are openings in the following business areas:                -- Customer Development
-- Marketing 
-- Finance
-- Supply Chain
-- Human Resources

Follow the link here for more information and to apply.
http://www.unilever.com.au/careers-jobs/graduates/internships/",Eastern Avenue Lecture Theatre,Sydney,Australia,Eastern Ave,2006.0,-33.88839913,151.1902811,2611,15:00:00+1000,2015-08-04,1
710,smsociety,Start of Semester Drinks,102,12,54,0,12,180,"Kick off Semester 1 with Sydney Marketing Society!

When? 12th March, 4pm
Where? Hermann's Bar

It'll be a perfect opportunity to meet your fellow SMSers and find out more about our fabulous society.

There'll be free drinks and pizza for access members (and only $5 for non-members), so bring your friends too!

Not an official member yet? No worries, sign up here for free:
http://www.sydneymarketingsociety.com/signup/",Hermann's Bar,Sydney,Australia,"University of Sydney, Cnr City Rd & Butlin Ave Butlin Ave",2008.0,-33.88960056,151.1903887,2611,16:00:00+1100,2015-03-12,0
712,smsociety,SMS Trivia Night,49,4,700,0,4,757,"Question 1: True or False?
You love free drink vouchers and winning prizes.

Question 2: If you answered true to Question 1, come to Manning Bar on Tuesday 16th September 5-6pm.

There is no Question 3, just enjoy a free drink and prizes on the Sydney Marketing Society!

See you there,
SMS Team",Manning Bar,Sydney,Australia,"Manning House, Manning Rd, University of Sydney",2050.0,-33.88679946,151.187771,2611,17:00:00+1000,2014-09-16,0
